Url,Name,Brand,Model,Type,City,Engine,Color,Fuel_Type,Warranty,Dealer_Name,Chassis,Year,Door,Seats,Power,Date
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=690157911&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fmas%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2017 MINI Cooper Clubman S,,,,"6247 S. Tacoma Way, Tacoma, WA 98409",2.0L 4-Cylinder Turbo Gas Engine,,,,All American Motors,,,,,,"01/09/2023, 10:10:32"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=688390055&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fmas%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2021 Jeep Wrangler Unlimited Sahara,,,,"3017 W IL ROUTE 120, Mchenry, IL 60051",3.6L 6-Cylinder Gas Engine,,,,Auto Villa,,,,,,"01/09/2023, 10:10:52"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=688341564&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Finfin%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2011 Aston Martin Rapide,,,,,6.0L 12-Cylinder Gas Engine,,,,Commerce Chevrolet,,,,,,"01/09/2023, 10:11:25"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=681262912&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Frov%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2019 Chevrolet Corvette ZR1 Coupe w/ 3ZR,,,,"13650 NW 107TH AVE, Hialeah, FL 33018",6.2L 8-Cylinder Supercharged Gas Engine,,,,Limitless Automotive,,,,,,"01/09/2023, 10:11:56"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=661453014&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fisu%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2016 Toyota Prius C,,,,"608 South 1st Street, Selah, WA 98942",Hybrid: Gas/Electric,,,,Bill Harris Used Cars Inc.,,,,,,"01/09/2023, 10:12:21"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=688392099&endYear=2022&isNewSearch=false&listingTypes=USED&makeCodeList=AUDI&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Faudi%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2022 Audi RS 5,,,,"5729 S WESTERN AVE, Chicago, IL 60636",2.9L 6-Cylinder Turbo Gas Engine,,,,S and M Auto Sales,,,,,,"01/09/2023, 10:12:46"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=686789974&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fplym%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2022 Mercedes-Benz Sprinter 3500,,,,,3.0L 6-Cylinder Turbo Diesel Engine,,,,Mercedes-Benz HE,,,,,,"01/09/2023, 10:13:10"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=685541770&endYear=2022&isNewSearch=false&listingTypes=USED&makeCodeList=TESLA&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Ftesla%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=spotlight,Used 2017 Tesla Model X 75D,,,,"3340 WILEY POST RD, Carrollton, TX 75006",Electric Engine,,,,Auto Centrix,,,,,,"01/09/2023, 10:13:43"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=644155304&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fchry%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2014 Jaguar XK R-S,,,,"3914 Stadium Blvd, Jonesboro, AR 72404",5.0L 8-Cylinder Supercharged Gas Engine,,,,Elite Autos LLC,,,,,,"01/09/2023, 10:14:22"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=690637839&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fmas%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2013 Nissan Rogue SL,,,,"35999 Lorain Rd., North Ridgeville, OH 44039",2.5L 4-Cylinder Gas Engine,,,,Center Road Auto Sales,,,,,,"01/09/2023, 10:15:05"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=688692312&endYear=2022&isNewSearch=false&listingTypes=USED&makeCodeList=SCION&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fscion%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2016 Scion iM,,,,"9393 Alternate A1A, Palm Beach Gardens, FL 33403",1.8L 4-Cylinder Gas Engine,,,,Simply Auto Sales,,,,,,"01/09/2023, 10:15:37"
